Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/DPM_Project/.git/objects/9c,115,115,0,"100.00"
/DPM_Project/.git/objects/9d,4,4,0,"100.00"
/DPM_Project/.git/objects/9f,9,9,0,"100.00"
/DPM_Project/.git/objects/a0,3,3,0,"100.00"
/DPM_Project/.git/objects/a2,5,5,0,"100.00"
/DPM_Project/.git/objects/a3,150,150,0,"100.00"
/DPM_Project/.git/objects/a4,21,21,0,"100.00"
/DPM_Project/.git/objects/a5,13,13,0,"100.00"
/DPM_Project/.git/objects/a6,28,28,0,"100.00"
/DPM_Project/.git/objects/a7,6,6,0,"100.00"
/DPM_Project/.git/objects/a8,120,120,0,"100.00"
/DPM_Project/.git/objects/a9,124,124,0,"100.00"
/DPM_Project/.git/objects/ab,4,4,0,"100.00"
/DPM_Project/.git/objects/ac,11,11,0,"100.00"
/DPM_Project/.git/objects/af,21,21,0,"100.00"
/DPM_Project/.git/objects/b0,2,2,0,"100.00"
/DPM_Project/.git/objects/b1,17,17,0,"100.00"
/DPM_Project/.git/objects/b2,4,4,0,"100.00"
/DPM_Project/.git/objects/b3,4,4,0,"100.00"
/DPM_Project/.git/objects/b4,11,11,0,"100.00"
/DPM_Project/.git/objects/b9,115,115,0,"100.00"
/DPM_Project/.git/objects/ba,1,1,0,"100.00"
/DPM_Project/.git/objects/bb,8,8,0,"100.00"
/DPM_Project/.git/objects/bd,9,9,0,"100.00"
/DPM_Project/.git/objects/bf,1,1,0,"100.00"
/DPM_Project/.git/objects/c0,24,24,0,"100.00"
/DPM_Project/.git/objects/c2,15,15,0,"100.00"
/DPM_Project/.git/objects/c4,49,49,0,"100.00"
/DPM_Project/.git/objects/c5,4,4,0,"100.00"
/DPM_Project/.git/objects/c7,25,25,0,"100.00"
/DPM_Project/.git/objects/c9,14,14,0,"100.00"
/DPM_Project/.git/objects/cb,8,8,0,"100.00"
/DPM_Project/.git/objects/cc,112,112,0,"100.00"
/DPM_Project/.git/objects/cd,7,7,0,"100.00"
/DPM_Project/.git/objects/ce,34,34,0,"100.00"
/DPM_Project/.git/objects/d2,16,16,0,"100.00"
/DPM_Project/.git/objects/d3,15,15,0,"100.00"
/DPM_Project/.git/objects/d5,1,1,0,"100.00"
/DPM_Project/.git/objects/d6,3,3,0,"100.00"
/DPM_Project/.git/objects/db,149,149,0,"100.00"
/DPM_Project/.git/objects/dc,4,4,0,"100.00"
/DPM_Project/.git/objects/dd,2,2,0,"100.00"
/DPM_Project/.git/objects/de,9,9,0,"100.00"
/DPM_Project/.git/objects/df,6,6,0,"100.00"
/DPM_Project/.git/objects/e0,32,32,0,"100.00"
/DPM_Project/.git/objects/e1,1,1,0,"100.00"
/DPM_Project/.git/objects/e2,114,114,0,"100.00"
/DPM_Project/.git/objects/e3,4,4,0,"100.00"
/DPM_Project/.git/objects/e7,13,13,0,"100.00"
/DPM_Project/.git/objects/e8,1,1,0,"100.00"
/DPM_Project/.git/objects/ec,29,29,0,"100.00"
/DPM_Project/.git/objects/ee,1,1,0,"100.00"
/DPM_Project/.git/objects/ef,3,3,0,"100.00"
/DPM_Project/.git/objects/f0,4,4,0,"100.00"
/DPM_Project/.git/objects/f1,1,1,0,"100.00"
/DPM_Project/.git/objects/f2,146,146,0,"100.00"
/DPM_Project/.git/objects/f4,134,134,0,"100.00"
/DPM_Project/.git/objects/f5,16,16,0,"100.00"
/DPM_Project/.git/objects/f8,52,52,0,"100.00"
/DPM_Project/.git/objects/f9,12,12,0,"100.00"
/DPM_Project/.git/objects/fa,3,3,0,"100.00"
/DPM_Project/.git/objects/fb,4,4,0,"100.00"
/DPM_Project/.git/objects/fc,3,3,0,"100.00"
/DPM_Project/.git/objects/fd,1,1,0,"100.00"
/DPM_Project/.git/objects/fe,8,8,0,"100.00"
/DPM_Project/.git/objects/ff,2,2,0,"100.00"
/DPM_Project/.git/objects/pack,1597,1597,0,"100.00"
/DPM_Project/.git/refs/heads,1,1,0,"100.00"
/DPM_Project/.git/refs/remotes/origin,1,1,0,"100.00"
/DPM_Project/DPM-Project,1,1,0,"100.00"
/DPM_Project/DPM-Project/.git,20,20,0,"100.00"
/DPM_Project/DPM-Project/.git/hooks,497,497,0,"100.00"
/DPM_Project/DPM-Project/.git/info,6,6,0,"100.00"
/DPM_Project/DPM-Project/.git/logs,1,1,0,"100.00"
/DPM_Project/DPM-Project/.git/logs/refs/heads,1,1,0,"100.00"
/DPM_Project/DPM-Project/.git/logs/refs/remotes/origin,1,1,0,"100.00"
/DPM_Project/DPM-Project/.git/objects/60,1,1,0,"100.00"
/DPM_Project/DPM-Project/.git/objects/a5,3,3,0,"100.00"
/DPM_Project/DPM-Project/.git/objects/e0,2,2,0,"100.00"
/DPM_Project/DPM-Project/.git/refs/heads,1,1,0,"100.00"
/DPM_Project/DPM-Project/.git/refs/remotes/origin,1,1,0,"100.00"
/DPM_Project/bin/main,353,353,0,"100.00"
/DPM_Project/bin/tests,260,260,0,"100.00"
/DPM_Project/doc,1320,1320,0,"100.00"
/DPM_Project/doc/index-files,1166,1166,0,"100.00"
/DPM_Project/doc/main,936,936,0,"100.00"
/DPM_Project/doc/main/class-use,122,122,0,"100.00"
/DPM_Project/src/main,1248,1248,0,"100.00"
/DPM_Project/src/tests,557,557,0,"100.00"
